Timestamp,Crowd_Count,Crowd_Type,Day,Date,Day_Name,Month_Name,Crowd_Type_Label,Noisy_Crowd_Count
01-01-2023 11:30,27,Low Crowd,1,01-01-2023,Sunday,January,1,27.99342831
01-01-2023 12:30,65,Moderate Crowd,1,01-01-2023,Sunday,January,2,64.7234714
01-01-2023 13:30,64,Moderate Crowd,1,01-01-2023,Sunday,January,2,65.29537708
01-01-2023 14:30,58,Moderate Crowd,1,01-01-2023,Sunday,January,2,61.04605971
01-01-2023 15:30,147,High Crowd,1,01-01-2023,Sunday,January,0,146.5316933
01-01-2023 16:30,106,High Crowd,1,01-01-2023,Sunday,January,0,105.5317261
01-01-2023 17:30,143,High Crowd,1,01-01-2023,Sunday,January,0,146.1584256
01-01-2023 18:30,67,Moderate Crowd,1,01-01-2023,Sunday,January,2,68.53486946
01-01-2023 19:30,77,High Crowd,1,01-01-2023,Sunday,January,0,76.06105123
01-01-2023 20:30,54,Moderate Crowd,1,01-01-2023,Sunday,January,2,55.08512009
01-01-2023 21:30,25,Low Crowd,1,01-01-2023,Sunday,January,1,24.07316461
01-01-2023 22:30,57,Moderate Crowd,1,01-01-2023,Sunday,January,2,56.06854049
01-01-2023 23:30,47,Moderate Crowd,1,01-01-2023,Sunday,January,2,47.48392454
01-02-2023 00:30,22,Low Crowd,2,02-01-2023,Monday,January,1,18.17343951
01-02-2023 01:30,21,Low Crowd,2,02-01-2023,Monday,January,1,17.55016433
01-02-2023 02:30,25,Low Crowd,2,02-01-2023,Monday,January,1,23.87542494
01-02-2023 03:30,33,Moderate Crowd,2,02-01-2023,Monday,January,2,30.97433776
01-02-2023 04:30,34,Moderate Crowd,2,02-01-2023,Monday,January,2,34.62849467
01-02-2023 05:30,52,Moderate Crowd,2,02-01-2023,Monday,January,2,50.18395185
01-02-2023 06:30,58,Moderate Crowd,2,02-01-2023,Monday,January,2,55.1753926
01-02-2023 07:30,21,Low Crowd,2,02-01-2023,Monday,January,1,23.93129754
01-02-2023 08:30,45,Moderate Crowd,2,02-01-2023,Monday,January,2,44.5484474
01-02-2023 09:30,22,Low Crowd,2,02-01-2023,Monday,January,1,22.13505641
01-02-2023 10:30,44,Moderate Crowd,2,02-01-2023,Monday,January,2,41.15050363
01-02-2023 11:30,36,Moderate Crowd,2,02-01-2023,Monday,January,2,34.91123455
01-02-2023 12:30,64,Moderate Crowd,2,02-01-2023,Monday,January,2,64.22184518
01-02-2023 13:30,78,High Crowd,2,02-01-2023,Monday,January,0,75.69801285
01-02-2023 14:30,87,High Crowd,2,02-01-2023,Monday,January,0,87.75139604
